id;name;birth_day;gender;car_class;license_plate;city;account_creation;account_status
000000000001;Luísa Almeida;19/09/1990;F;green;EV-54-07;Setúbal;05/07/2021;active
000000000002;Bárbara Cardoso;11/04/1977;F;green;32-62-DM;Setúbal;10/06/2012;active
000000000003;Bárbara Reis;16/02/1952;F;premium;YJ-62-IJ;Braga;17/03/2010;active
000000000004;Petra Rodrigues;12/12/1952;F;premium;IL-22-74;Lisboa;23/04/2013;active
000000000005;Enzo Leal;13/10/1992;M;basic;RL-63-28;Porto;07/08/2018;active
000000000006;Lourenço Andrade;08/06/1984;M;premium;18-UA-50;Porto;10/07/2015;active
000000000007;Nelson Simões;14/01/1962;M;green;UV-40-MS;Braga;05/08/2021;active
000000000008;Marta-Júlia Santos;17/08/1951;F;premium;EO-85-57;Faro;02/12/2021;active
000000000009;Eduardo Jesus;07/10/1955;M;premium;87-00-BI;Braga;10/08/2014;active
000000000010;Ariana Almeida;01/02/1965;F;green;27-00-DS;Lisboa;26/11/2019;active
000000000011;Matilde Pinheiro;13/09/1968;F;basic;86-RU-12;Lisboa;04/01/2012;active
000000000012;Joaquim Neves;04/02/1972;M;basic;05-NV-11;Braga;04/05/2011;active
000000000013;Joana Mota;01/07/1998;F;green;IQ-57-UH;Setúbal;04/10/2018;active
000000000014;Tiago Neto;23/09/1994;M;basic;04-55-NC;Lisboa;01/09/2013;active
000000000015;Joel Campos;20/02/1989;M;premium;88-14-KD;Porto;15/07/2012;active
000000000016;César da Freitas;30/08/1984;M;premium;96-WC-40;Setúbal;29/07/2013;active
000000000017;Pedro Baptista;20/03/1979;M;basic;RT-07-16;Setúbal;30/11/2017;active
000000000018;Patrícia Domingues-Tavares;07/11/1977;F;green;OT-62-95;Setúbal;19/08/2021;active
000000000019;Vasco Figueiredo;14/03/1980;M;green;73-21-KQ;Braga;27/08/2018;active
000000000020;Leonor Batista;20/07/1972;F;green;CP-82-VW;Braga;01/08/2021;active
000000000021;Emma Henriques;18/06/1976;F;green;PB-87-FR;Faro;10/04/2013;active
000000000022;Henrique Barbosa;14/02/1957;M;basic;JN-85-00;Braga;30/04/2021;active
000000000023;Hugo Vieira;20/05/1961;M;green;66-BD-69;Porto;30/05/2018;active
000000000024;Enzo Lima;07/05/1970;M;green;JI-28-10;Lisboa;17/06/2016;active
000000000025;Kevin Abreu;19/12/1984;M;basic;XE-38-44;Braga;11/08/2015;active
000000000026;Hugo Jesus;19/09/1982;M;premium;YM-34-82;Setúbal;25/07/2016;active
000000000027;Érica Matias;13/07/1981;F;green;OI-10-MN;Braga;19/09/2021;active
000000000028;Afonso Costa;05/04/1961;M;premium;38-WV-41;Braga;29/11/2017;active
000000000029;Luís da Oliveira;22/07/1986;M;basic;SM-02-57;Braga;08/08/2012;active
000000000030;Mauro Simões;21/05/1962;M;basic;65-70-VI;Porto;17/09/2015;active
000000000031;Edgar Ferreira;08/06/1965;M;premium;EY-86-78;Lisboa;14/04/2016;active
000000000032;André Gomes;16/08/1973;M;green;51-SQ-23;Braga;18/11/2019;active
000000000033;Ricardo Nunes;18/12/1970;M;green;YP-34-NL;Faro;23/05/2011;active
000000000034;Ana Miranda;09/03/1975;F;basic;ZN-00-71;Faro;28/09/2013;active
000000000035;Amélia Gonçalves;26/07/1977;F;green;PH-60-KM;Setúbal;12/02/2010;inactive
000000000036;Kevin Gaspar;23/08/1991;M;premium;51-92-NO;Porto;26/01/2017;active
000000000037;Filipe Leite;26/07/1964;M;premium;CP-74-78;Setúbal;24/06/2012;active
000000000038;Benjamim Neto;27/06/1978;M;basic;VX-68-39;Faro;18/04/2010;active
000000000039;Margarida Ribeiro;10/08/1959;F;premium;75-EI-43;Lisboa;28/04/2016;active
000000000040;Salvador do Leal;18/04/1964;M;green;XE-81-SE;Faro;24/09/2018;active
000000000041;Ivan Magalhães;03/05/1955;M;premium;36-12-NF;Lisboa;30/08/2012;active
000000000042;Jaime Almeida;10/10/1969;M;basic;89-WZ-83;Lisboa;21/02/2019;active
000000000043;Filipa Paiva;17/03/1953;F;premium;17-EE-80;Braga;19/03/2016;active
000000000044;Eva Gomes;09/08/1965;F;basic;BD-12-40;Faro;02/12/2010;active
000000000045;Yasmin Cardoso;07/12/1961;F;premium;DF-47-24;Braga;15/12/2020;active
000000000046;Emília Fonseca;15/04/1962;F;premium;35-41-ML;Lisboa;13/10/2014;active
000000000047;Duarte de Reis;21/11/1980;M;basic;17-84-NJ;Braga;15/03/2013;active
000000000048;Isabela Rocha;09/12/1962;F;green;UK-46-51;Setúbal;25/09/2015;active
000000000049;Frederico Vaz;16/06/1993;M;green;88-37-XU;Braga;29/07/2016;active
000000000050;Tomás Lourenço;11/03/1988;M;basic;16-IL-76;Faro;03/06/2018;active
000000000051;Inês Neto;28/08/1994;F;green;14-70-VD;Braga;29/05/2018;active
000000000052;Márcio de Lima;18/02/1956;M;basic;IV-43-JK;Braga;02/10/2014;active
000000000053;Bruno Ferreira;24/04/1951;M;green;YN-12-RP;Lisboa;02/12/2014;active
000000000054;David Monteiro;02/04/1967;M;green;04-TN-03;Faro;11/08/2014;active
000000000055;Valentim Ferreira;29/05/1956;M;green;24-72-QJ;Lisboa;17/03/2014;active
000000000056;Martim Nunes;12/01/1985;M;green;ZF-24-20;Faro;27/03/2015;active
000000000057;Valentim de Marques;29/01/1993;M;basic;NR-03-95;Faro;25/02/2018;active
000000000058;Vítor Antunes-Lima;09/10/1990;M;premium;WE-51-JZ;Porto;17/01/2014;active
000000000059;Sandro Melo;09/03/1970;M;basic;MW-53-TJ;Braga;03/05/2013;inactive
000000000060;Camila Maia;27/11/1997;F;basic;KG-54-AQ;Braga;04/07/2019;active
000000000061;Mia Assunção;28/02/1965;F;premium;VY-92-07;Faro;11/08/2012;active
000000000062;Lara Jesus;02/06/1958;F;basic;AU-67-14;Lisboa;23/02/2018;active
000000000063;Paulo Henriques;08/06/1958;M;basic;ND-64-37;Lisboa;20/06/2017;inactive
000000000064;Carlos Torres;27/07/1985;M;premium;95-02-QC;Setúbal;04/09/2011;active
000000000065;Benjamim Araújo;03/03/1987;M;premium;DJ-78-28;Porto;23/06/2011;active
000000000066;Diogo Carneiro;04/09/1968;M;premium;50-ZW-35;Porto;12/05/2010;active
000000000067;Luísa Assunção;02/11/1999;F;basic;99-62-LS;Braga;22/02/2020;active
000000000068;Nelson Fonseca;16/07/1987;M;basic;68-98-YW;Lisboa;20/03/2013;active
000000000069;Bruna-Renata Lopes;28/02/1990;F;premium;GK-26-39;Lisboa;24/09/2019;active
000000000070;Inês Brito;28/01/1992;F;premium;EA-75-89;Porto;20/10/2018;active
000000000071;Helena Borges;22/02/1965;F;basic;FT-70-RF;Porto;30/04/2010;active
000000000072;Beatriz Silva;23/04/1952;F;green;VZ-42-15;Faro;04/08/2014;active
000000000073;Cristiano Lopes-Marques;18/02/1974;M;premium;40-IA-14;Setúbal;11/11/2020;active
000000000074;Nicole Alves;21/08/1968;F;basic;TM-73-MR;Lisboa;24/12/2014;active
000000000075;Filipa Barbosa;19/03/1951;F;green;GB-61-BE;Setúbal;25/12/2010;active
000000000076;Lúcia do Magalhães;12/06/1961;F;basic;XE-78-DM;Porto;11/01/2014;active
000000000077;Gabriel Simões;13/09/1983;M;basic;14-YZ-72;Lisboa;04/04/2016;active
000000000078;Guilherme Lima;07/12/1974;M;green;45-NX-42;Faro;30/03/2020;active
000000000079;Sara Gonçalves;07/10/1980;F;premium;46-VS-30;Setúbal;23/05/2016;active
000000000080;Sandro Melo;14/07/1970;M;premium;42-62-BH;Braga;30/10/2012;active
000000000081;Pilar Moreira;15/09/1988;F;green;BC-53-75;Braga;19/11/2017;active
000000000082;Yara de Melo;25/10/1955;F;premium;JO-47-03;Lisboa;05/08/2014;active
000000000083;Helena-Júlia Brito;03/11/1975;F;basic;69-32-SI;Faro;24/07/2012;active
000000000084;Matilde da Pinto;21/07/1954;F;premium;HI-64-88;Lisboa;01/10/2021;active
000000000085;Erika do Matos;26/05/1959;F;basic;XV-07-39;Setúbal;14/10/2010;active
000000000086;Diego Neto;29/12/1986;M;basic;JK-98-QY;Lisboa;20/11/2013;active
000000000087;Henrique Matos-Pinto;24/03/1997;M;green;YW-21-SK;Setúbal;18/12/2017;active
000000000088;Vicente Rocha;10/11/1950;M;premium;77-63-XD;Setúbal;21/09/2017;active
000000000089;Wilson Moreira;16/08/1983;M;green;ET-63-GL;Setúbal;10/11/2013;active
000000000090;David Alves;11/01/1994;M;green;SP-06-09;Porto;04/06/2014;active
000000000091;Fabiana Moura;28/08/1993;F;basic;XQ-09-37;Porto;29/12/2019;active
000000000092;Lourenço Leal;08/08/1993;M;green;10-18-PU;Faro;27/04/2012;inactive
000000000093;Erika Esteves;08/05/1951;F;premium;36-33-PE;Lisboa;14/08/2016;active
000000000094;Alexandra Nogueira;21/01/1971;F;basic;YS-94-YH;Lisboa;02/01/2013;active
000000000095;Wilson Nascimento;13/02/1972;M;premium;ZT-09-88;Braga;20/03/2016;active
000000000096;Bianca Campos;15/01/1983;F;basic;25-UU-35;Faro;16/09/2021;active
000000000097;Ismael Monteiro;14/02/1965;M;premium;61-06-JY;Braga;22/03/2016;active
000000000098;Erica Pires-Henriques;10/02/1986;F;basic;12-58-ON;Setúbal;10/04/2014;active
000000000099;Denis Garcia;30/01/1953;M;premium;65-WR-40;Lisboa;15/10/2012;active
000000000100;Ricardo do Matos;27/07/1979;M;premium;85-68-AI;Setúbal;05/12/2016;active
